Symbol,Company Name,Yahoo Symbol
AW,A & W Food Services of Canada Inc.,AW.TO
AAB,Aberdeen International Inc.,AAB.TO
ABRA,AbraSilver Resource Corp.,ABRA.TO
FAP,abrdn Asia-Pacific Income Fund VCC,FAP.TO
ADN,Acadian Timber Corp.,ADN.TO
HDGE,Accelerate Absolute Return Fund,HDGE.TO
ARB,Accelerate Arbitrage Fund,ARB.TO
ATSX,Accelerate Canadian Long Short Equity Fund,ATSX.TO
INCM,Accelerate Diversified Credit Income Fund,INCM.TO
ONEC,Accelerate OneChoice Alternative Portfolio ETF,ONEC.TO
ACD,Accord Financial Corp.,ACD.TO
ARA,Aclara Resources Inc.,ARA.TO
ACX,ACT Energy Technologies Ltd.,ACX.TO
ADCO,Adcore Inc.,ADCO.TO
ADEN,ADENTRA Inc.,ADEN.TO
DRX,ADF Group Inc.,DRX.TO
AMD,Advanced Micro Devices CDR (CAD Hedged),AMD.TO
AAV,Advantage Energy Ltd.,AAV.TO
ARE,Aecon Group Inc.,ARE.TO
AEG,Aegis Brands Inc.,AEG.TO
AOI,Africa Oil Corp.,AOI.TO
AFN,Ag Growth International Inc.,AFN.TO
AGF.B,AGF Management Limited,AGF.B.TO
QIE,AGF Systematic International Equity ETF,QIE.TO
QUS,AGF Systematic US Equity ETF,QUS.TO
QBTL,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,QBTL.TO
AEM,Agnico Eagle Mines Limited,AEM.TO
AGRI.RT.U,Agrinam Acquisition Corporation,AGRI.RT.U.TO
AIM,Aimia Inc.,AIM.TO
AC,Air Canada,AC.TO
BOS,AirBoss of America Corp.,BOS.TO
AKT.A,Akita Drilling Ltd.,AKT.A.TO
AGI,Alamos Gold Inc.,AGI.TO
AD.DB.A,Alaris Equity Partners Income Trust,AD.DB.A.TO
ALC,Algoma Central Corporation,ALC.TO
ASTL,Algoma Steel Group Inc.,ASTL.TO
AQN,Algonquin Power & Utilities Corp.,AQN.TO
ATD,Alimentation Couche-Tard Inc.,ATD.TO
ALYA,Alithya Group inc.,ALYA.TO
AAUC,Allied Gold Corporation,AAUC.TO
AP.UN,Allied Properties Real Estate Investment Trust,AP.UN.TO
AMM,Almaden Minerals Ltd.,AMM.TO
AII,Almonty Industries Inc.,AII.TO
GOOG,Alphabet CDR (CAD Hedged),GOOG.TO
ATCU,Alta Copper Corp.,ATCU.TO
ALA,AltaGas Ltd.,ALA.TO
ALS,Altius Minerals Corporation,ALS.TO
AIF,Altus Group Limited,AIF.TO
AMZN,Amazon.com CDR (CAD Hedged),AMZN.TO
HOT.DB.V,American Hotel Income Properties REIT LP,HOT.DB.V.TO
USA,Americas Gold and Silver Corporation,USA.TO
ARG,Amerigo Resources Ltd.,ARG.TO
ANRG,Anaergia Inc.,ANRG.TO
APM,Andean Precious Metals Corp.,APM.TO
AND,Andlauer Healthcare Group Inc.,AND.TO
ADW.A,Andrew Peller Limited/Andrew Peller Limitee,ADW.A.TO
APLI,Appili Therapeutics Inc.,APLI.TO
AAPL,Apple CDR (CAD Hedged),AAPL.TO
APS,Aptose Biosciences Inc.,APS.TO
ARX,ARC Resources Ltd.,ARX.TO
ARIS,Aris Mining Corporation,ARIS.TO
ATZ,Aritzia Inc.,ATZ.TO
AMC,Arizona Metals Corp.,AMC.TO
ASCU,Arizona Sonoran Copper Company Inc.,ASCU.TO
ADIV,Arrow EC Equity Advantage Alternative Fund,ADIV.TO
RATE,Arrow EC Income Advantage Alternative Fund,RATE.TO
ACAA,Arrow Long/Short Alternative Fund,ACAA.TO
AX.PR.E,Artis Real Estate Investment Trust,AX.PR.E.TO
ASND,Ascendant Resources Inc.,ASND.TO
AOT,Ascot Resources Ltd.,AOT.TO
ACO.X,ATCO Ltd.,ACO.X.TO
ATH,Athabasca Oil Corporation,ATH.TO
ATRL,AtkinsRéalis Group Inc.,ATRL.TO
AI,Atrium Mortgage Investment Corporation,AI.TO
ATS,ATS Corporation,ATS.TO
G,Augusta Gold Corp.,G.TO
ORA,Aura Minerals Inc.,ORA.TO
ACB,Aurora Cannabis Inc.,ACB.TO
ACQ,AutoCanada Inc.,ACQ.TO
APR.UN,Automotive Properties Real Estate Investment Trust,APR.UN.TO
XLY,Auxly Cannabis Group Inc.,XLY.TO
AVL,Avalon Advanced Materials Inc.,AVL.TO
AVNT,Avant Brands Inc.,AVNT.TO
AVCN,Avicanna Inc.,AVCN.TO
ASM,Avino Silver & Gold Mines Ltd.,ASM.TO
AYA,Aya Gold & Silver Inc.,AYA.TO
ABX,Barrick Gold Corporation,ABX.TO
ATMD,BetaPro Equal Weight Canadian Bank -2x Daily Bear ETF,ATMD.TO
ATMU,BetaPro Equal Weight Canadian Bank 2x Daily Bull ETF,ATMU.TO
ARTI,Evolve Artificial Intelligence Fund,ARTI.TO
AGG,Evolve Canadian Aggregate Bond Enhanced Yield Fund,AGG.TO
AG,First Majestic Silver Corp.,AG.TO
AUGB.F,First Trust Vest U.S. Equity Buffer ETF - August,AUGB.F.TO
AIGO,Global X Artificial Intelligence & Technology Index ETF,AIGO.TO
AUMN,Golden Minerals Company,AUMN.TO
AMAX,Hamilton Gold Producer YIELD MAXIMIZER TM ETF,AMAX.TO
AMHE,Harvest Amazon Enhanced High Income Shares ETF,AMHE.TO
AMZH,Harvest Amazon High Income Shares ETF,AMZH.TO
AMDY,Harvest AMD Enhanced High Income Shares ETF,AMDY.TO
AVGY,Harvest Broadcom Enhanced High Income Shares ETF,AVGY.TO
AIDX,HealWELL AI Inc.,AIDX.TO
BTCQ,3iQ Bitcoin ETF,BTCQ.TO
BOS,AirBoss of America Corp.,BOS.TO
BTO,B2Gold Corp.,BTO.TO
BDGI,Badger Infrastructure Solutions Ltd.,BDGI.TO
BLDP,Ballard Power Systems Inc.,BLDP.TO
BMO,Bank of Montreal,BMO.TO
BNS,Bank of Nova Scotia (The),BNS.TO
ABX,Barrick Gold Corporation,ABX.TO
BLCO,Bausch + Lomb Corporation,BLCO.TO
BHC,Bausch Health Companies Inc.,BHC.TO
BYL,Baylin Technologies Inc.,BYL.TO
BTE,Baytex Energy Corp.,BTE.TO
BCE,BCE Inc.,BCE.TO
BEK.B,Becker Milk Company Ltd. (The),BEK.B.TO
BSX,Belo Sun Mining Corp.,BSX.TO
BNG,Bengal Energy Ltd.,BNG.TO
BRK,Berkshire Hathaway CDR (CAD Hedged),BRK.TO
GDXD,BetaPro Canadian Gold Miners -2x Daily Bear ETF,GDXD.TO
GDXU,BetaPro Canadian Gold Miners 2x Daily Bull ETF,GDXU.TO
HOD,BetaPro Crude Oil Inverse Leveraged Daily Bear ETF,HOD.TO
HOU,BetaPro Crude Oil Leveraged Daily Bull ETF,HOU.TO
ATMD,BetaPro Equal Weight Canadian Bank -2x Daily Bear ETF,ATMD.TO
ATMU,BetaPro Equal Weight Canadian Bank 2x Daily Bull ETF,ATMU.TO
RITD,BetaPro Equal Weight Canadian REIT -2x Daily Bear ETF,RITD.TO
RITU,BetaPro Equal Weight Canadian REIT 2x Daily Bull ETF,RITU.TO
GLDD,BetaPro Gold Bullion -2x Daily Bear ETF,GLDD.TO
GLDU,BetaPro Gold Bullion 2x Daily Bull ETF,GLDU.TO
BITI,BetaPro Inverse Bitcoin ETF,BITI.TO
QQD,BetaPro NASDAQ-100 -2x Daily Bear ETF,QQD.TO
QQU,BetaPro NASDAQ-100 2x Daily Bull ETF,QQU.TO
HND,BetaPro Natural Gas Inverse Leveraged Daily Bear ETF,HND.TO
HNU,BetaPro Natural Gas Leveraged Daily Bull ETF,HNU.TO
SPXD,BetaPro S&P 500 -2x Daily Bear ETF,SPXD.TO
SPXU,BetaPro S&P 500 2x Daily Bull ETF,SPXU.TO
SPXI,BetaPro S&P 500 Daily Inverse ETF,SPXI.TO
VOLX,BetaPro S&P 500 VIX Short-Term Futures ETF,VOLX.TO
CNDD,BetaPro S&P/TSX 60 -2x Daily Bear ETF,CNDD.TO
CNDU,BetaPro S&P/TSX 60 2x Daily Bull ETF,CNDU.TO
CNDI,BetaPro S&P/TSX 60 Daily Inverse ETF,CNDI.TO
NRGD,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,NRGD.TO
NRGU,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,NRGU.TO
CFOD,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,CFOD.TO
CFOU,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,CFOU.TO
SLVD,BetaPro Silver -2x Daily Bear ETF,SLVD.TO
SLVU,BetaPro Silver 2x Daily Bull ETF,SLVU.TO
BNK,Big Banc Split Corp.,BNK.TO
PRM,Big Pharma Split Corp.,PRM.TO
BR,Big Rock Brewery Inc.,BR.TO
BIR,Birchcliff Energy Ltd.,BIR.TO
BCHT,Birchtech Corp.,BCHT.TO
BDT,Bird Construction Inc.,BDT.TO
QBTC,"Bitcoin Fund, The",QBTC.TO
BITF,Bitfarms Ltd.,BITF.TO
BDI,Black Diamond Group Limited,BDI.TO
BKI,Black Iron Inc.,BKI.TO
BB,BlackBerry Limited,BB.TO
BLN,Blackline Safety Corp.,BLN.TO
HBLK,Blockchain Technologies ETF,HBLK.TO
RBN.UN,Blue Ribbon Income Fund,RBN.UN.TO
ZAG,BMO Aggregate Bond Index ETF,ZAG.TO
ZEQT,BMO All-Equity ETF,ZEQT.TO
ZESG,BMO Balanced ESG ETF,ZESG.TO
ZBAL,BMO Balanced ETF,ZBAL.TO
ZBBB,BMO BBB Corporate Bond Index ETF,ZBBB.TO
TOWR,BMO Brookfield Global Real Estate Tech Fund,TOWR.TO
GRNI,BMO Brookfield Global Renewables Infrastructure Fund,GRNI.TO
ZBI,BMO Canadian Bank Income Index ETF,ZBI.TO
ZDV,BMO Canadian Dividend ETF,ZDV.TO
ZWC,BMO Canadian High Dividend Covered Call Fund,ZWC.TO
ZMBS,BMO Canadian MBS Index ETF,ZMBS.TO
ZCLN,BMO Clean Energy Index Fund,ZCLN.TO
ZCON,BMO Conservative ETF,ZCON.TO
ZCPB,BMO Core Plus Bond Fund,ZCPB.TO
ZCB,BMO Corporate Bond Index ETF,ZCB.TO
ZCDB,BMO Corporate Discount Bond ETF,ZCDB.TO
ZWB,BMO Covered Call Canadian Banks Fund,ZWB.TO
ZWA,BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,ZWA.TO
ZWEN,BMO Covered Call Energy Fund,ZWEN.TO
ZWHC,BMO Covered Call Health Care ETF,ZWHC.TO
ZWT,BMO Covered Call Technology Fund,ZWT.TO
ZWK,BMO Covered Call US Banks ETF,ZWK.TO
ZWU,BMO Covered Call Utilities Fund,ZWU.TO
ZDB,BMO Discount Bond Index ETF,ZDB.TO
ZDJ,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,ZDJ.TO
ZEF,BMO Emerging Markets Bond Hedged to CAD Index ETF,ZEF.TO
ZEB,BMO Equal Weight Banks Index ETF,ZEB.TO
ZMT,BMO Equal Weight Global Base Metals Hedged to CAD Index ETF,ZMT.TO
ZGD,BMO Equal Weight Global Gold Index ETF,ZGD.TO
ZIN,BMO Equal Weight Industrials Index ETF,ZIN.TO
ZEO,BMO Equal Weight Oil & Gas Index ETF,ZEO.TO
ZRE,BMO Equal Weight REITs Index ETF,ZRE.TO
